ID	CODA_UTF8	CODA	Egyptian-Word_UTF8	Egyptian-Word	Egyptian-POS-CHE	Egyptian-POS-LDC	MSA-Lemma_UTF8	MSA-Lemma	English-Equivalent	CALIMA_EGY_LEMMA	CALIMA_ALMOR_POS	SAMA_LEMMA	SAMA_POS
1	آب	|b	آب	|b	noun+prop	NOUN_PROP	آب	|b	August	|b_1	pos:noun_prop	|b_1	pos:noun_prop
2	آبا	|bA	آبا	|bA	noun	NOUN	أَبِي	>abiy	father	|abA_1	pos:noun	>abiy~_1	pos:adj
3	آبِي	|biy	آبِي	|biy	pple-act	ADJ	آبِي	|biy	reluctant;;unwilling	|abiy_1	pos:adj	|biy_1	pos:noun
4	آتِي	|tiy	آتِي	|tiy	pple-act	ADJ	آتِي	|tiy	coming;;following	|tiy_1	pos:adj	|tiy_1	pos:adj
5	آتِي	|tiy	آتِي	|tiy	verb	PV	آتَى	|taY	afflict and curse	UNK	UNK	|taY_1	pos:verb
6	آتِي	|tiy	آتِي	|tiy	verb	PV	آتَى	|taY	afflict and curse	UNK	UNK	|taY_2	pos:verb
7	آتِي	|tiy	آتِي	|tiy	verb	PV	أَعْطَى	>aEoTaY	give	UNK	UNK	>aEoTaY_1	pos:verb
8	آجِر	|jir	آجِر	|jir	noun	NOUN	مُؤَجِّر	mu&aj~ir	work for a daily rate	UNK	UNK	mu&aj~ir_1	pos:noun
9	آجِر	|jir	آجِر	|jir	verb	PV	آجَر	|jar	grant	|ajir_1	pos:verb	|jar_1	pos:verb
10	آجِل	|jil	آجِل	|jil	pple-act	ADJ	آجِل	|jil	future;;deferred	|ajil_1	pos:adj	|jil_1	pos:noun
11	آحاد	|HAd	آحاد	|HAd	noun	NOUN	واحِد	wAHid	ones	wAHid_1	pos:noun	wAHid_1	pos:noun_num
12	آخَر	|xar	آخَر	|xar	adj	ADJ	آخَر	|xar	other	|xar_1	pos:adj	|xar_1	pos:adj
13	آخَر	|xar	آخَر	|xar	adj	ADJ	آخِر	|xir	extreme;;utmost	|xar_1	pos:adj	|xir_1	pos:adj_comp
14	آخَر	|xar	آخَر	|xar	adj	ADJ	آخِر	|xir	the last	|xar_1	pos:adj	|xir_1	pos:adj_comp
15	آخَر	|xar	آخَر	|xar	adj+elative	ADJ_COMP	آخَر	|xar	the ultimate	UNK	UNK	|xar_1	pos:adj
16	آخِذ	|xi*	آخِد	|xid	pple-act	ADJ	آخِذ	|xi*	taking;;captivating;;engrossing	|xid_1	pos:adj	|xi*_1	pos:adj
17	آخِذ	|xi*	آخِذ	|xi*	verb	PV	آخَذ	|xa*	blame;;reproach	|xi*_1	pos:verb	|xa*_1	pos:verb
18	آخِر	|xir	آخِر	|xir	adj	ADJ	آخِر	|xir	the last	UNK	UNK	|xir_1	pos:adj_comp
19	آخِر	|xir	آخِر	|xir	adv	NOUN	آخِر	|xir	end;;later part	|axir_1	pos:noun	|xir_1	pos:adj_comp
20	آخِرَة	|xirap	آخِرَة	|xirap	noun	NOUN	آخِرَة	|xirap	hereafter	|xirap_1	pos:noun	|xirap_1	pos:noun
21	آد	|d	آد	|d	noun	NOUN	وَلَد	walad	boy	|ad_1	pos:noun	walad_1	pos:noun
22	آدَم	|dam	آدَم	|dam	noun+prop	NOUN_PROP	آدَم	|dam	Adam	|dam_1	pos:noun_prop	|dam_1	pos:noun_prop
23	آدَمِي	|damiy	آدَمِي	|damiy	adj	ADJ	آدَمِيّ	|damiy~	human	|adamiy_1	pos:adj	|damiy~_1	pos:adj
24	آدَمِي	|damiy	آدَمِي	|damiy	adj	ADJ	آدَمِيّ	|damiy~	human	|damiy~_1	pos:adj	|damiy~_1	pos:adj
25	آدَمِيَّة	|damiy~ap	آدَمِيَّة	|damiy~ap	noun	NOUN	آدَمِيَّة	|damiy~ap	human	|damiy~ap_1	pos:noun	UNK	UNK
26	آدِم	|dim	آدِم	|dim	verb	PV	أَكَل	>akal	eat	|adim_1	pos:verb	>akal-u_1	pos:verb
27	آدِي	|diy	آدِي	|diy	dem	DEM_PRON	هَذا	ha*A	this is-that is	|adiy_1	pos:pron_dem	UNK	UNK
28	آرِيا	|riyA	آرِيا	|riyA	verb	PV	خَفَّض	xaf~aD	lower away	UNK	UNK	xaf~aD_1	pos:verb
29	آزِم	|zim	آزِم	|zim	pple-act	ADJ	آزِم	|zim	critical;;decisive	|zim_1	pos:adj	|zim_1	pos:adj
30	آس	|s	آس	|s	noun	NOUN	آس	|s	myrtle-tree	|s_1	pos:noun	|s_1	pos:noun
31	آس	|s	آس	|s	noun	NOUN	آس	|s	myrtle-tree	|s_1	pos:noun	|s_2	pos:noun
32	آس	|s	آس	|s	noun	NOUN	آس	|s	myrtle-tree	|s_2	pos:noun	|s_1	pos:noun
33	آس	|s	آس	|s	noun	NOUN	آس	|s	myrtle-tree	|s_2	pos:noun	|s_2	pos:noun
34	آسَة	|sap	آسَة	|sap	noun	NOUN	آس	|s	myrtle-tree	|asap_1	pos:noun	|s_1	pos:noun
35	آسَة	|sap	آسَة	|sap	noun	NOUN	آس	|s	myrtle-tree	|asap_1	pos:noun	|s_2	pos:noun
36	آسِف	|sif	آسِف	|sif	pple-act	ADJ	آسِف	|sif	sorry;;regretful	|sif_1	pos:adj	|sif_1	pos:noun
37	آسْيا	|soyA	آسْيا	|soyA	noun+prop	NOUN_PROP	آسِيا	|siyA	Asia	Al_0	pos:noun_prop	UNK	UNK
38	آصَل	|Sal	آصَل	|Sal	noun	NOUN	أَصَلَة	>aSalap	python	UNK	UNK	>aSalap_1	pos:noun
39	آصَلَة	|Salap	آصَلَة	|Salap	noun	NOUN	آصَلَة	|Salap	python	UNK	UNK	UNK	UNK
40	آفَة	|fap	آفَة	|fap	noun	NOUN	آفَة	|fap	disease	|fap_1	pos:noun	|fap_1	pos:noun
41	آكِل	|kil	آكِل	|kil	pple-act	ADJ	آكِل	|kil	eating	|kil_1	pos:adj	|kil_1	pos:adj
42	آكِل	|kil	آكِل	|kil	verb	PV	آكَل	|kal	feed	|kil_1	pos:verb	|kal_1	pos:verb
43	آل	|l	آل	|l	noun	NOUN	آل	|l	lineage	|l_2	pos:noun	|l_2	pos:noun
44	آل	|l	آل	|l	noun	NOUN	لُعْبَة	luEobap	jacks;;five stones	|l_2	pos:noun	luEobap_1	pos:noun
45	آل	|l	آل	|l	verb	PV	آل	|l	be certain	|l-u_1	pos:verb	|l-u_1	pos:verb
46	آل	|l	آل	|l	verb	PV	رَجَّع	raj~aE	revert	|l-u_1	pos:verb	raj~aE_1	pos:verb
47	آلاتِي	|lAtiy	آلاتِي	|lAtiy	adj	ADJ	داعِر	dAEir	raffish	UNK	UNK	dAEir_1	pos:adj
48	آلاتِي	|lAtiy	آلاتِي	|lAtiy	adj	ADJ	عازِف	EAzif	low class musician	UNK	UNK	EAzif_1	pos:noun
49	آلاف	|lAf	آلاف	|lAf	noun	NOUN	أَلْف	>alof	thousands	>ulof_1	pos:noun	>alof_1	pos:noun_num
50	آلَة	|lap	آلَة	|lap	noun	NOUN	آلَة	|lap	musical instrument	|lap_1	pos:noun	|lap_1	pos:noun
51	آلَة	|lap	آلَة	|lap	noun	NOUN	آلَة	|lap	tool;;instrument;;machine	|lap_1	pos:noun	|lap_1	pos:noun
52	آلِف	|lif	آلِف	|lif	pple-act	ADJ	آلِف	|lif	confidant;;companion	|lif_1	pos:adj	|lif_1	pos:adj
53	آلِم	|lim	آلِم	|lim	verb	PV	آلَم	|lam	cause pain	UNK	UNK	|lam_1	pos:verb
54	آلِي	|liy	آلِي	|liy	adj	ADJ	آلِيّ	|liy~	mechanical;;automatic	|aliy_1	pos:adj	|liy~_1	pos:adj
55	آلِي	|liy	آلِي	|liy	adj	ADJ	آلِيّ	|liy~	mechanical;;automatic	|liy~_1	pos:adj	|liy~_1	pos:adj
56	آمَن	|man	آمَن	|man	adj+elative	ADJ_COMP	آمَن	|man	more secure	|aman_1	pos:adj_comp	UNK	UNK
57	آمِر	|mir	آمِر	|mir	pple-act	ADJ	آمِر	|mir	commander;;commandant	|amir_1	pos:adj	|mir_1	pos:noun
58	آمِم	|mim	آمِم	|mim	pple-act	ADJ	آمّ	|m~	leader	|amim_1	pos:adj	UNK	UNK
59	آمِن	|min	آمِن	|min	adj	ADJ	آمِن	|min	secure	|min_1	pos:adj	|min_1	pos:adj
60	آمِن	|min	آمِن	|min	pple-act	ADJ	آمِن	|min	secure;;safe	|min_1	pos:adj	|min_1	pos:adj
61	آمِن	|min	آمِن	|min	verb	PV	آمَن	|man	believe	|min_1	pos:verb	|man_1	pos:verb
62	آمِن	|min	آمِن	|min	verb	PV	آمَن	|man	have faith	|min_1	pos:verb	|man_1	pos:verb
63	آمِين	|miyn	آمِين	|miyn	interj	INTERJ	آمِين	|miyn	amen	UNK	UNK	UNK	UNK
