ID	Source	Egyptian-Word	CODA	MSA-Equivalent	MSA-Lemma	MSA_L_S_Type	English-Equivalent	Egyptian-POS	Egyptian-POS-LDC	MSA-POS	MSA-POS-LDC	Word-Type	Lemma	Gender	Number	Rationality	CALIMA_EGY_LEMMA	SAMA_LEMMA	CALIMA_ALMOR_POS	SAMA_POS	SAMA-Gloss
1	T	*abiyHap	*abiyHap	*abiyHap	*abiyHap	L	slaughter animal;;sacrifice victim;;slaughter animals;;sacrifice victims	noun	NOUN	noun	NOUN	L	_	S	S	I	*abiyHap_1	*abiyHap_1	pos:noun	pos:noun	slaughter animal;;sacrifice victim;;slaughter animals;;sacrifice victims
2	B	*abo*abap	*abo*abap	*abo*abap	*abo*abap	L	oscillation;;vibration	vbn	NOUN	vbn	NOUN	L	_	F	NA	NA	*abo*abap_1	*abo*abap_1	pos:noun	pos:noun	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations
3	B	*abo*abap	*abo*abap	*abo*abap	*abo*abap	L	radio frequency	noun	NOUN	noun	NOUN	L	_	F	S	I	*abo*abap_1	*abo*abap_1	pos:noun	pos:noun	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations
4	T	*abo*abap	*abo*abap	*abo*abap	*abo*abap	L	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations	noun	NOUN	noun	NOUN	L	_	S	S	I	*abo*abap_1	*abo*abap_1	pos:noun	pos:noun	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations
5	C	*aboHap	*aboHap	*iboHap	*iboHap	L	angina;diphtheria	noun	NOUN	noun	NOUN	L	_	F	S	I	*aboHap_1	*iboHap_1	pos:noun	pos:noun	angina;;diphtheria
6	B	*AE	*AE	>a*AE	>a*AE	L	to broadcast	verb	PV	verb	PV	L	_	NA	NA	NA	UNK	>a*AE_1	UNK	pos:verb	broadcast;;propagate;;be broadcast;;be propagated
7	B	*aEan	*aEan	>a*oEan	>a*oEan	L	to submit;;give in;;yield	verb	PV	verb	PV	L	_	NA	NA	NA	UNK	>a*oEan_1	UNK	pos:verb	submit;;yield;;obey;;be submitted to;;be yielded to;;be obeyed
8	T	*aEar	*aEar	*aEar	*aEar	L	_	verb	PV	verb	PV	L	_	NA	NA	NA	*aEar_1	*aEar-a_1	pos:verb	pos:verb	frighten
9	T	*aEar	*aEar	>aroEab	>aroEab	L	frighten;;terrify;;be frighten;;be terrified	verb	PV	verb	PV	L	_	NA	NA	NA	*aEar_1	>aroEab_1	pos:verb	pos:verb	frighten;;terrify;;be frighten;;be terrified
10	B	*ahab	*ahab	*ahab	*ahab	L	to go	verb	PV	verb	PV	L	_	NA	NA	NA	*ahab_1	*ahab-a_2	pos:verb	pos:verb	take (with)
11	T	*ahab	*ahab	*ahab	*ahab	L	gild	verb	PV	verb	PV	L	_	NA	NA	NA	*ahab_1	*ahab-a_2	pos:verb	pos:verb	take (with)
12	T	*ahab	*ahab	*ah~ab	*ah~ab	L	gild	verb	PV	verb	PV	L	_	NA	NA	NA	*ahab_1	*ah~ab_1	pos:verb	pos:verb	gild
13	B	*ahal	*ahal	>a*ohal	>a*ohal	L	to shock	verb	PV	verb	PV	L	_	NA	NA	NA	*ahal_1	>a*ohal_1	pos:verb	pos:verb	baffle;;distract;;be baffled;;be distracted
14	B	*ak~ar	*ak~ar	*ak~ar	*ak~ar	L	to praise allah;;to glorify allah	verb	PV	verb	PV	L	_	NA	NA	NA	*ak~ar_1	*ak~ar_1	pos:verb	pos:verb	remind
15	B	*ak~ar	*ak~ar	*ak~ar	*ak~ar	L	to remind	verb	PV	verb	PV	L	_	NA	NA	NA	*ak~ar_1	*ak~ar_1	pos:verb	pos:verb	remind
16	T	*ak~ar	*ak~ar	*ak~ar	*ak~ar	L	remind	verb	PV	verb	PV	L	_	NA	NA	NA	*ak~ar_1	*ak~ar_1	pos:verb	pos:verb	remind
17	B	*ak~iyr	*ak~iyr	*ak~iyr	*ak~iyr	L	magnifier	adj	ADJ	adj	ADJ	L	_	M	S	R	UNK	UNK	UNK	UNK	UNK
18	C	*ak~iyr	*ak~iyr	*ak~iyr	*ak~iyr	L	magnifier	adj	ADJ	adj	ADJ	L	_	M	S	R	UNK	UNK	UNK	UNK	UNK
19	T	*akA'	*akA'	*akA'	*akA'	L	intelligence;;cleverness	noun	NOUN	noun	NOUN	L	_	S	S	I	*akA'_1	*akA'_1	pos:noun	pos:noun	intelligence;;cleverness
20	B	*akA'	*akA'	*akA'	*akA'	L	intelligence	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	*akA'_1	*akA'_1	pos:noun	pos:noun	intelligence;;cleverness
21	B	*akar	*akar	>a$Ar	>a$Ar	L	to mention	verb	PV	verb	PV	L	_	NA	NA	NA	*akar_1	>a$Ar_1	pos:verb	pos:verb	indicate;;mention;;cite;;be indicated;;be mentioned;;be cited
